logFC	logCPM	LR	PValue	FDR
RP11-736K20.4	-3.47838156392133	8.84146741150519	1499.50857177163	0	0
RP11-175K6.2	-3.38782563759466	7.25816803509754	1665.73776080056	0	0
RP11-175K6.1	-3.07122731343679	6.51909445766462	1306.7910888342	3.7794259062331e-286	7.43916999210215e-283
RP11-736K20.5	-3.08415755219662	7.32041141991669	1211.37867965153	2.05307251471366e-265	3.03084829984604e-262
RP11-427J23.1	-3.65435083100537	5.69229105972842	1184.74726063524	1.25939664451174e-259	1.48734743716837e-256
RP11-798K3.2	-5.37558620174958	4.55186179115946	1082.60282259886	1.99567250808288e-237	1.96407436003823e-234
LINC01537	-3.43942964255743	5.65124832996356	1046.05790317108	1.75049334825687e-229	1.47666617449383e-226
TRHDE-AS1	-5.37821166062201	8.23083676139048	1024.67140810494	7.79212286453017e-225	5.75156068938133e-222
RP1-28O10.1	-4.25131341674177	6.32547218398632	1000.40675149006	1.46505119383672e-219	9.6123636662287e-217
AL035610.1	-4.38499072315367	6.14209693135952	978.015288820092	1.07895351994558e-214	6.37122053527867e-212
MIR143HG	-3.3984193115445	8.74971694168319	970.417704026161	4.83601144082001e-213	2.59605886891292e-210
ALDH1L1-AS2	-4.91842600932766	5.0750643983658	902.475262205563	2.84268863523259e-198	1.39883969925404e-195
ADAMTS9-AS2	-3.07043159112877	6.46942274097439	897.684317270758	3.12768528854942e-197	1.42069089452956e-194
RP5-965F6.2	-3.59328548553557	4.30657200727756	889.350458862441	2.02730107720961e-195	8.55086632923054e-193
RP11-172E9.2	-4.5128890230144	3.71587172411393	871.600451444997	1.46437141754873e-191	5.7647421470835e-189
MEOX2-AS1	-3.9112846732507	5.49151518463681	870.925644726491	2.05282279053505e-191	7.57619911131842e-189
RP11-159H22.2	-2.95115581307979	4.07091654297207	861.683546306663	2.0968093981034e-189	7.28332911517681e-187
AC003986.6	-3.36687241626329	4.84654476626108	841.021808814284	6.50812979065164e-185	2.13502813409989e-182
RP11-394O4.5	-2.83162173323776	9.99133427094574	791.809179781748	3.25764895474638e-174	1.01244300409355e-171
LINC01230	-4.58541244732857	6.12045439224811	785.459590501981	7.82427331733566e-173	2.31011669694335e-170
RP1-302G2.5	-3.26811170672212	6.24220751908653	776.120076927357	8.39623277564993e-171	2.36094069239109e-168
RP11-138I17.1	-4.15789182593064	4.28913745287128	741.666310039735	2.60291057976208e-163	6.98644862431594e-161
RP1-193H18.3	-4.9905435721563	5.60416223482568	716.432338329029	7.9880869737204e-158	2.05085450347039e-155
LINC01485	-3.79403683037882	5.90254046033358	712.0350523905	7.22161746607351e-157	1.77681879738184e-154
AC093110.3	-2.45782069841422	6.26287026133772	704.106100666094	3.82656665959068e-155	9.03835044995318e-153
