chr	ENSG	symbol	gene_type	gene_length
chr1	ENSG00000000457.12	SCYL3	protein_coding	6351
chr1	ENSG00000000460.15	C1orf112	protein_coding	3820
chr1	ENSG00000000938.11	FGR	protein_coding	2716
chr1	ENSG00000000971.14	CFH	protein_coding	4105
chr1	ENSG00000001460.16	STPG1	protein_coding	2795
chr1	ENSG00000001461.15	NIPAL3	protein_coding	1699
chr1	ENSG00000004455.15	AK2	protein_coding	3570
chr1	ENSG00000004487.14	KDM1A	protein_coding	3014
chr1	ENSG00000006555.9	TTC22	protein_coding	3338
chr1	ENSG00000007341.17	ST7L	protein_coding	4332
chr1	ENSG00000007908.14	SELE	protein_coding	3378
chr1	ENSG00000007923.14	DNAJC11	protein_coding	3295
chr1	ENSG00000007933.11	FMO3	protein_coding	2078
chr1	ENSG00000007968.6	E2F2	protein_coding	5184
chr1	ENSG00000008118.8	CAMK1G	protein_coding	2599
chr1	ENSG00000008128.21	CDK11A	protein_coding	2634
chr1	ENSG00000008130.14	NADK	protein_coding	3223
chr1	ENSG00000009307.14	CSDE1	protein_coding	3987
chr1	ENSG00000009709.10	PAX7	protein_coding	2252
chr1	ENSG00000009724.15	MASP2	protein_coding	2428
chr1	ENSG00000009780.14	FAM76A	protein_coding	3558
chr1	ENSG00000009790.13	TRAF3IP3	protein_coding	1840
chr1	ENSG00000010072.14	SPRTN	protein_coding	3555
chr1	ENSG00000010165.18	METTL13	protein_coding	755
chr1	ENSG00000010803.15	SCMH1	protein_coding	3172
chr1	ENSG00000010932.14	FMO1	protein_coding	2183
chr1	ENSG00000011007.11	TCEB3	protein_coding	5143
chr1	ENSG00000011009.9	LYPLA2	protein_coding	1800
chr1	ENSG00000011021.20	CLCN6	protein_coding	5609
chr1	ENSG00000014914.18	MTMR11	protein_coding	1918
chr1	ENSG00000016490.14	CLCA1	protein_coding	3295
chr1	ENSG00000016602.9	CLCA4	protein_coding	3197
chr1	ENSG00000018625.13	ATP1A2	protein_coding	3094
chr1	ENSG00000020129.14	NCDN	protein_coding	3670
chr1	ENSG00000020633.17	RUNX3	protein_coding	4334
chr1	ENSG00000021852.11	C8B	protein_coding	2025
chr1	ENSG00000023572.7	GLRX2	protein_coding	697
chr1	ENSG00000023902.12	PLEKHO1	protein_coding	1804
chr1	ENSG00000023909.8	GCLM	protein_coding	4850
chr1	ENSG00000024526.15	DEPDC1	protein_coding	5319
chr1	ENSG00000025800.12	KPNA6	protein_coding	7364
chr1	ENSG00000026751.15	SLAMF7	protein_coding	2341
chr1	ENSG00000027644.4	INSRR	protein_coding	5079
chr1	ENSG00000027869.10	SH2D2A	protein_coding	1590
chr1	ENSG00000028137.15	TNFRSF1B	protein_coding	3673
chr1	ENSG00000031698.11	SARS	protein_coding	1841
chr1	ENSG00000033122.17	LRRC7	protein_coding	6480
chr1	ENSG00000034971.13	MYOC	protein_coding	2092
chr1	ENSG00000035687.9	ADSS	protein_coding	2767
chr1	ENSG00000036549.11	ZZZ3	protein_coding	4489
chr1	ENSG00000037637.9	FBXO42	protein_coding	6192
chr1	ENSG00000040487.11	PQLC2	protein_coding	1796
chr1	ENSG00000041988.14	THAP3	protein_coding	1360
chr1	ENSG00000042781.11	USH2A	protein_coding	18811
chr1	ENSG00000043514.14	TRIT1	protein_coding	2016
chr1	ENSG00000044012.3	GUCA2B	protein_coding	594
chr1	ENSG00000047410.12	TPR	protein_coding	9657
chr1	ENSG00000048707.12	VPS13D	protein_coding	16250
chr1	ENSG00000049089.12	COL9A2	protein_coding	2830
chr1	ENSG00000049239.11	H6PD	protein_coding	9141
chr1	ENSG00000049245.11	VAMP3	protein_coding	2200
chr1	ENSG00000049246.13	PER3	protein_coding	1514
chr1	ENSG00000049247.12	UTS2	protein_coding	1594
chr1	ENSG00000049249.7	TNFRSF9	protein_coding	5961
chr1	ENSG00000050628.19	PTGER3	protein_coding	1909
chr1	ENSG00000052723.10	SIKE1	protein_coding	5501
chr1	ENSG00000053371.11	AKR7A2	protein_coding	1355
chr1	ENSG00000053372.4	MRTO4	protein_coding	2307
chr1	ENSG00000054116.10	TRAPPC3	protein_coding	1300
chr1	ENSG00000054118.12	THRAP3	protein_coding	4420
chr1	ENSG00000054267.19	ARID4B	protein_coding	3446
chr1	ENSG00000054277.11	OPN3	protein_coding	791
chr1	ENSG00000054282.14	SDCCAG8	protein_coding	694
chr1	ENSG00000054392.11	HHAT	protein_coding	3154
chr1	ENSG00000054523.15	KIF1B	protein_coding	7544
chr1	ENSG00000055070.15	SZRD1	protein_coding	487
chr1	ENSG00000055732.11	MCOLN3	protein_coding	2743
chr1	ENSG00000057252.11	SOAT1	protein_coding	6846
chr1	ENSG00000057468.6	MSH4	protein_coding	3246
chr1	ENSG00000057757.8	PITHD1	protein_coding	1597
chr1	ENSG00000058085.13	LAMC2	protein_coding	4291
chr1	ENSG00000058453.15	CROCC	protein_coding	1859
chr1	ENSG00000058668.13	ATP2B4	protein_coding	8947
chr1	ENSG00000058673.14	ZC3H11A	protein_coding	941
chr1	ENSG00000058799.12	YIPF1	protein_coding	1591
chr1	ENSG00000058804.11	NDC1	protein_coding	5116
chr1	ENSG00000059588.8	TARBP1	protein_coding	5100
